,Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,São Filipe,14.8961,-24.4956,298.69,55,804,3.86,CV,1611942534
1,Tabora,-5.0167,32.8,293.54,83,500,1.1,TZ,1611942534
2,Abhā,18.2164,42.5053,288.15,77,800,5.14,SA,1611942534
3,Rāzole,16.4833,81.8333,293.88,91,803,1.15,IN,1611942535
4,Guerrero Negro,27.9769,-114.0611,290.59,56,800,3.9,MX,1611942535
5,Vredendal,-31.6683,18.5012,292.48,65,800,7.31,ZA,1611942535
6,Qaanaaq,77.484,-69.3632,247.19,59,800,2.05,GL,1611942536
7,Punta Arenas,-53.15,-70.9167,282.15,53,803,9.26,CL,1611942536
8,Qasigiannguit,68.8193,-51.1922,256.15,51,800,2.06,GL,1611942536
9,Kaitangata,-46.2817,169.8464,279.08,92,801,2.75,NZ,1611942536
10,Lompoc,34.6391,-120.4579,282.15,93,500,3.09,US,1611942449
11,Hermanus,-34.4187,19.2345,294.26,73,800,3.28,ZA,1611942537
12,Yakeshi,49.2833,120.7333,241.4,86,600,1.6,CN,1611942537
13,Port Hardy,50.6996,-127.4199,278.15,87,804,9.26,CA,1611942537
14,Halifax,44.6453,-63.5724,271.15,59,600,6.69,CA,1611942303
15,Butaritari,3.0707,172.7902,300.04,78,500,7.75,KI,1611942537
16,Bluff,-46.6,168.3333,281.4,81,802,1.11,NZ,1611942538
17,Grand Gaube,-20.0064,57.6608,300.37,80,800,1.79,MU,1611942538
